date,machine_name,region_id,sex,genotype,compound,vial_date,start_hour,concentration
21/06/2021,ETHOSCOPE_139,5,male,CS,abamectin,09/06/2021,ZT0,100
21/06/2021,ETHOSCOPE_139,6,male,CS,abamectin,09/06/2021,ZT0,100
21/06/2021,ETHOSCOPE_139,7,male,CS,abamectin,09/06/2021,ZT0,100
21/06/2021,ETHOSCOPE_139,8,male,CS,abamectin,09/06/2021,ZT0,100
21/06/2021,ETHOSCOPE_139,9,male,CS,abamectin,09/06/2021,ZT0,100
21/06/2021,ETHOSCOPE_139,10,male,CS,abamectin,09/06/2021,ZT0,100
21/06/2021,ETHOSCOPE_139,11,male,CS,abamectin,09/06/2021,ZT0,100
21/06/2021,ETHOSCOPE_139,12,male,CS,abamectin,09/06/2021,ZT0,100
21/06/2021,ETHOSCOPE_139,13,male,CS,abamectin,09/06/2021,ZT0,100
21/06/2021,ETHOSCOPE_139,14,male,CS,abamectin,09/06/2021,ZT0,100
21/06/2021,ETHOSCOPE_139,15,male,CS,abamectin,09/06/2021,ZT0,100
21/06/2021,ETHOSCOPE_139,16,male,CS,abamectin,09/06/2021,ZT0,100
21/06/2021,ETHOSCOPE_139,17,male,CS,abamectin,09/06/2021,ZT0,100
21/06/2021,ETHOSCOPE_139,18,male,CS,abamectin,09/06/2021,ZT0,100
21/06/2021,ETHOSCOPE_139,19,male,CS,abamectin,09/06/2021,ZT0,100
21/06/2021,ETHOSCOPE_139,20,male,CS,abamectin,09/06/2021,ZT0,100
21/06/2021,ETHOSCOPE_139,21,male,CS,abamectin,09/06/2021,ZT0,100
21/06/2021,ETHOSCOPE_139,22,male,CS,abamectin,09/06/2021,ZT0,100
21/06/2021,ETHOSCOPE_139,23,male,CS,abamectin,09/06/2021,ZT0,100
21/06/2021,ETHOSCOPE_139,24,male,CS,abamectin,09/06/2021,ZT0,100
21/06/2021,ETHOSCOPE_261,1,male,CS,Diamide_syn_cpd,09/06/2021,ZT0,100
21/06/2021,ETHOSCOPE_261,2,male,CS,Diamide_syn_cpd,09/06/2021,ZT0,100
21/06/2021,ETHOSCOPE_261,3,male,CS,Diamide_syn_cpd,09/06/2021,ZT0,100
21/06/2021,ETHOSCOPE_261,4,male,CS,Diamide_syn_cpd,09/06/2021,ZT0,100
21/06/2021,ETHOSCOPE_261,5,male,CS,Diamide_syn_cpd,09/06/2021,ZT0,100
21/06/2021,ETHOSCOPE_261,6,male,CS,Diamide_syn_cpd,09/06/2021,ZT0,100
21/06/2021,ETHOSCOPE_261,7,male,CS,Diamide_syn_cpd,09/06/2021,ZT0,100
21/06/2021,ETHOSCOPE_261,8,male,CS,Diamide_syn_cpd,09/06/2021,ZT0,100
21/06/2021,ETHOSCOPE_261,9,male,CS,Diamide_syn_cpd,09/06/2021,ZT0,100
21/06/2021,ETHOSCOPE_261,10,male,CS,Diamide_syn_cpd,09/06/2021,ZT0,100
21/06/2021,ETHOSCOPE_261,11,male,CS,Diamide_syn_cpd,09/06/2021,ZT0,100
21/06/2021,ETHOSCOPE_261,12,male,CS,Diamide_syn_cpd,09/06/2021,ZT0,100
21/06/2021,ETHOSCOPE_261,13,male,CS,Diamide_syn_cpd,09/06/2021,ZT0,100
21/06/2021,ETHOSCOPE_261,14,male,CS,Diamide_syn_cpd,09/06/2021,ZT0,100
21/06/2021,ETHOSCOPE_261,15,male,CS,Diamide_syn_cpd,09/06/2021,ZT0,100
21/06/2021,ETHOSCOPE_261,16,male,CS,Diamide_syn_cpd,09/06/2021,ZT0,100
21/06/2021,ETHOSCOPE_261,17,male,CS,Diamide_syn_cpd,09/06/2021,ZT0,100
21/06/2021,ETHOSCOPE_261,18,male,CS,Diamide_syn_cpd,09/06/2021,ZT0,100
21/06/2021,ETHOSCOPE_261,19,male,CS,Diamide_syn_cpd,09/06/2021,ZT0,100
21/06/2021,ETHOSCOPE_261,20,male,CS,Diamide_syn_cpd,09/06/2021,ZT0,100
21/06/2021,ETHOSCOPE_261,21,male,CS,Diamide_syn_cpd,09/06/2021,ZT0,100
21/06/2021,ETHOSCOPE_261,22,male,CS,Diamide_syn_cpd,09/06/2021,ZT0,100
21/06/2021,ETHOSCOPE_261,23,male,CS,Diamide_syn_cpd,09/06/2021,ZT0,100
21/06/2021,ETHOSCOPE_261,24,male,CS,Diamide_syn_cpd,09/06/2021,ZT0,100
18/06/2021,ETHOSCOPE_151,1,male,CS,Diamide_syn_cpd,06/06/2021,ZT0,100
18/06/2021,ETHOSCOPE_151,2,male,CS,Diamide_syn_cpd,06/06/2021,ZT0,100
18/06/2021,ETHOSCOPE_151,3,male,CS,Diamide_syn_cpd,06/06/2021,ZT0,100
18/06/2021,ETHOSCOPE_151,4,male,CS,Diamide_syn_cpd,06/06/2021,ZT0,100
18/06/2021,ETHOSCOPE_151,5,male,CS,Diamide_syn_cpd,06/06/2021,ZT0,100
18/06/2021,ETHOSCOPE_151,6,male,CS,Diamide_syn_cpd,06/06/2021,ZT0,100
18/06/2021,ETHOSCOPE_151,7,male,CS,Diamide_syn_cpd,06/06/2021,ZT0,100
18/06/2021,ETHOSCOPE_151,8,male,CS,Diamide_syn_cpd,06/06/2021,ZT0,100
18/06/2021,ETHOSCOPE_151,9,male,CS,Diamide_syn_cpd,06/06/2021,ZT0,100
18/06/2021,ETHOSCOPE_151,10,male,CS,Diamide_syn_cpd,06/06/2021,ZT0,100
18/06/2021,ETHOSCOPE_151,11,male,CS,Diamide_syn_cpd,06/06/2021,ZT0,100
